confirmed,deaths,timestamp,province_state,long,country_region,timestamp.date,lat,recovered
29,0,1585483200,null,28.2833,Zambia,2020-03-29,-15.4167,0
609,40,1585483200,null,30.0,Egypt,2020-03-29,26.0,132
2139,7,1585483200,null,-71.543,Chile,2020-03-29,-35.6751,75
156,0,1585483200,Saskatchewan,-106.4509,Canada,2020-03-29,52.9399,null
2840,22,1585483200,Quebec,-73.5491,Canada,2020-03-29,52.9399,null
1355,21,1585483200,Ontario,-85.3232,Canada,2020-03-29,51.2538,null
122,0,1585483200,Nova Scotia,-63.7443,Canada,2020-03-29,44.682,null
135,0,1585483200,Newfoundland and Labrador,-57.6604,Canada,2020-03-29,53.1355,null
66,0,1585483200,New Brunswick,-66.4619,Canada,2020-03-29,46.5653,null
72,1,1585483200,Manitoba,-98.8139,Canada,2020-03-29,53.7609,null
621,2,1585483200,Alberta,-116.5765,Canada,2020-03-29,53.9333,null
103,0,1585483200,null,104.9167,Cambodia,2020-03-29,11.55,21
10,0,1585483200,null,95.956,Burma,2020-03-29,21.9162,0
222,12,1585483200,null,-1.5615999999999999,Burkina Faso,2020-03-29,12.2383,23
346,8,1585483200,null,25.4858,Bulgaria,2020-03-29,42.7339,14
126,1,1585483200,null,114.7277,Brunei,2020-03-29,4.5353,34
4256,136,1585483200,null,-51.9253,Brazil,2020-03-29,-14.235,6
323,6,1585483200,null,17.6791,Bosnia and Herzegovina,2020-03-29,43.9159,8
81,1,1585483200,null,-63.5887,Bolivia,2020-03-29,-16.2902,0
10836,431,1585483200,null,4.0,Belgium,2020-03-29,50.8333,1359
499,4,1585483200,null,50.55,Bahrain,2020-03-29,26275.0,272
577,8,1585483200,Beijing,116.4142,China,2020-03-29,40.1824,412
338,1,1585483200,Fujian,117.9874,China,2020-03-29,26789.0,295
1475,8,1585483200,Guangdong,113.4244,China,2020-03-29,23.3417,1349
314,2,1585483200,null,-83.7534,Costa Rica,2020-03-29,9.7489,3
859,39,1585483200,null,-70.1627,Dominican Republic,2020-03-29,18.7357,3
159,0,1585483200,Faroe Islands,-6.9118,Denmark,2020-03-29,61.8926,70
2395,72,1585483200,null,9.5018,Denmark,2020-03-29,56.2639,1
2817,16,1585483200,null,15.473,Czechia,2020-03-29,49.8175,11
214,5,1585483200,null,33.4299,Cyprus,2020-03-29,35.1264,15
139,3,1585483200,null,-80.0,Cuba,2020-03-29,22.0,4
713,6,1585483200,null,15.2,Croatia,2020-03-29,45.1,52
165,1,1585483200,null,-5.5471,Cote d'Ivoire,2020-03-29,7.54,4
702,10,1585483200,null,-74.2973,Colombia,2020-03-29,4.5709,10
641,4,1585483200,Hong Kong,114.2,China,2020-03-29,22.3,112
1254,1,1585483200,Zhejiang,120934.0,China,2020-03-29,29.1832,1225
166,3,1585483200,Tianjin,117.323,China,2020-03-29,39.3054,133
492,5,1585483200,Shanghai,121.4491,China,2020-03-29,31.202,334
134,2,1585483200,Liaoning,122.6085,China,2020-03-29,41.2956,124
937,1,1585483200,Jiangxi,115.7221,China,2020-03-29,27.614,934
644,0,1585483200,Jiangsu,119.455,China,2020-03-29,32.9711,631
95,1,1585483200,Inner Mongolia,113.9448,China,2020-03-29,44935.0,74
67801,3182,1585483200,Hubei,112.2707,China,2020-03-29,30.9756,62570
11,0,1585483200,null,-77.3963,Bahamas,2020-03-29,25343.0,1
209,4,1585483200,null,47.5769,Azerbaijan,2020-03-29,40.1431,15
8788,86,1585483200,null,14.5501,Austria,2020-03-29,47.5162,479
63,0,1585483200,Mayotte,45.1662,France,2020-03-29,-12.8275,0
2,0,1585483200,null,-15.1804,Guinea-Bissau,2020-03-29,11.8037,0
11,0,1585483200,St Martin,-63501.0,France,2020-03-29,18708.0,0
3,0,1585483200,null,18.7322,Chad,2020-03-29,15.4542,0
0,0,1585483200,null,24.6849,Botswana,2020-03-29,-22.3285,0
2,0,1585483200,null,-59.5432,Belize,2020-03-29,13.1939,0
94,0,1585483200,null,27.9534,Belarus,2020-03-29,53.7098,32
4,0,1585483200,Turks and Caicos Islands,-71.7979,United Kingdom,2020-03-29,21.694,0
183,0,1585483200,Reunion,55.2471,France,2020-03-29,-21.1351,1
37,0,1585483200,Macau,113.55,China,2020-03-29,22.1667,10
2,0,1585483200,null,-62.782998,Saint Kitts and Nevis,2020-03-29,17.357822,0
8,1,1585483200,Cayman Islands,-81.2546,United Kingdom,2020-03-29,19.3133,0
8,1,1585483200,Curacao,-68.99,Netherlands,2020-03-29,12.1696,2
5,0,1585483200,Saint Barthelemy,-62.8333,France,2020-03-29,17.9,0
30,0,1585483200,French Polynesia,149.4068,France,2020-03-29,-17.6797,0
28,0,1585483200,French Guiana,-53.1258,France,2020-03-29,3.9339,6
772,7,1585483200,Shandong,118.1498,China,2020-03-29,36.3427,752
319,6,1585483200,Hebei,116.1306,China,2020-03-29,39.549,310
109,1,1585483200,null,35.2332,West Bank and Gaza,2020-03-29,31.9522,18
56,0,1585483200,null,9.55,Liechtenstein,2020-03-29,47.14,0
25,1,1585483200,null,0.8248000000000001,Togo,2020-03-29,8.6195,1
311,2,1585483200,Western Australia,115.8605,Australia,2020-03-29,-31.9505,28
212,10,1585483200,null,20.1683,Albania,2020-03-29,41.1533,33
769,4,1585483200,Victoria,144.9631,Australia,2020-03-29,-37.8136,191
299,0,1585483200,South Australia,138.6007,Australia,2020-03-29,-34.9285,6
656,2,1585483200,Queensland,153.4,Australia,2020-03-29,-28167.0,8
1791,8,1585483200,New South Wales,151.2093,Australia,2020-03-29,-33.8688,4
77,0,1585483200,Australian Capital Territory,149124.0,Australia,2020-03-29,-35.4735,2
424,3,1585483200,null,45382.0,Armenia,2020-03-29,40691.0,30
334,6,1585483200,null,1.5218,Andorra,2020-03-29,42.5063,1
511,31,1585483200,null,1.6596000000000002,Algeria,2020-03-29,28339.0,31
120,4,1585483200,null,65.0,Afghanistan,2020-03-29,33.0,2
48,5,1585483200,null,90.3563,Bangladesh,2020-03-29,23.685,15
119,2,1585483200,null,-66.5897,Venezuela,2020-03-29,6.4238,39
14,0,1585483200,null,34.8888,Tanzania,2020-03-29,-6.369,1
224,22,1585483200,null,12.4578,San Marino,2020-03-29,43.9424,6
12,0,1585483200,null,103.8467,Mongolia,2020-03-29,46.8625,0
