,confirmed,country_region,deaths,lat,long,province_state,recovered,timestamp,timestamp.date
0,283,Yemen,65,15.552727,48.516388,null,11,1590753600.0,2020-05-29
1,328,Vietnam,0,16.0,108.0,null,279,1590753600.0,2020-05-29
2,1370,Venezuela,14,6.4238,-66.5897,null,302,1590753600.0,2020-05-29
3,3468,Uzbekistan,14,41.3775,64.5853,null,2728,1590753600.0,2020-05-29
4,816,Uruguay,22,-32.5228,-55.7658,null,680,1590753600.0,2020-05-29
5,336,United Kingdom,24,54.2361,-4.5481,Isle of Man,309,1590753600.0,2020-05-29
6,161,United Kingdom,0,36.1408,-5.3536,Gibraltar,148,1590753600.0,2020-05-29
7,141,United Kingdom,1,19.3133,-81.2546,Cayman Islands,68,1590753600.0,2020-05-29
8,271222,United Kingdom,38161,55.3781,-3.436,null,0,1590753600.0,2020-05-29
9,33170,United Arab Emirates,260,24.0,54.0,null,17097,1590753600.0,2020-05-29
10,22811,Ukraine,679,48.3794,31.1656,null,8934,1590753600.0,2020-05-29
11,329,Uganda,0,1.0,32.0,null,72,1590753600.0,2020-05-29
12,1746019,US,102809,37902.0,-95.7129,null,406446,1590753600.0,2020-05-29
13,162120,Turkey,4489,38.9637,35.2433,null,125963,1590753600.0,2020-05-29
14,1071,Tunisia,48,34.0,9.0,null,946,1590753600.0,2020-05-29
15,428,Togo,13,8.6195,0.8248,null,202,1590753600.0,2020-05-29
16,3076,Thailand,57,15.0,101.0,null,2945,1590753600.0,2020-05-29
17,3686,Tajikistan,47,38.861034,71.276093,null,1769,1590753600.0,2020-05-29
18,442,Taiwan*,7,23.7,121.0,null,420,1590753600.0,2020-05-29
19,30828,Switzerland,1919,46.8182,8.2275,null,28300,1590753600.0,2020-05-29
20,36476,Sweden,4350,63.0,16.0,null,4971,1590753600.0,2020-05-29
21,4521,Sudan,233,12.8628,30.2176,null,816,1590753600.0,2020-05-29
22,1558,Sri Lanka,10,7.0,81.0,null,754,1590753600.0,2020-05-29
23,238564,Spain,27121,40.0,-4.0,null,150376,1590753600.0,2020-05-29
24,994,South Sudan,10,6.877,31.307,null,6,1590753600.0,2020-05-29
25,29240,South Africa,611,-30.5595,22.9375,null,15093,1590753600.0,2020-05-29
26,1473,Slovenia,108,46.1512,14.9955,null,1357,1590753600.0,2020-05-29
27,1520,Slovakia,28,48.669,19.699,null,1338,1590753600.0,2020-05-29
28,33860,Singapore,23,1.2833,103.8333,null,19631,1590753600.0,2020-05-29
29,829,Sierra Leone,45,8.460555,-11.779889,null,386,1590753600.0,2020-05-29
30,11354,Serbia,242,44165.0,21059.0,null,6524,1590753600.0,2020-05-29
31,3429,Senegal,41,14.4974,-14.4524,null,1738,1590753600.0,2020-05-29
32,81766,Saudi Arabia,458,24.0,45.0,null,57013,1590753600.0,2020-05-29
33,463,Sao Tome and Principe,12,0.18636,6.613081,null,68,1590753600.0,2020-05-29
34,671,San Marino,42,43.9424,12.4578,null,344,1590753600.0,2020-05-29
35,26,Saint Vincent and the Grenadines,0,12.9843,-61.2872,null,14,1590753600.0,2020-05-29
36,355,Rwanda,0,-1.9403,29.8739,null,247,1590753600.0,2020-05-29
37,387623,Russia,4374,60.0,90.0,null,159257,1590753600.0,2020-05-29
38,18982,Romania,1248,45.9432,24.9668,null,12829,1590753600.0,2020-05-29
39,52907,Qatar,36,25.3548,51.1839,null,20604,1590753600.0,2020-05-29
40,31946,Portugal,1383,39.3999,-8.2245,null,18911,1590753600.0,2020-05-29
41,23155,Poland,1051,51.9194,19.1451,null,10692,1590753600.0,2020-05-29
42,16634,Philippines,942,13.0,122.0,null,3720,1590753600.0,2020-05-29
43,141779,Peru,4099,-9.19,-75152.0,null,62791,1590753600.0,2020-05-29
44,917,Paraguay,11,-23.4425,-58.4438,null,413,1590753600.0,2020-05-29
45,12531,Panama,326,8.538,-80.7821,null,7540,1590753600.0,2020-05-29
46,64028,Pakistan,1317,30.3753,69.3451,null,22305,1590753600.0,2020-05-29
47,9820,Oman,40,21.0,57.0,null,2396,1590753600.0,2020-05-29
48,8422,Norway,236,60.472,8.4689,null,7727,1590753600.0,2020-05-29
49,2129,North Macedonia,126,41.6086,21.7453,null,1516,1590753600.0,2020-05-29
50,9302,Nigeria,261,982.0,8.6753,null,2697,1590753600.0,2020-05-29
51,955,Niger,64,17.6078,8817.0,null,813,1590753600.0,2020-05-29
52,46126,Netherlands,5931,52.1326,5.2913,null,0,1590753600.0,2020-05-29
53,1212,Nepal,6,28.1667,84.25,null,206,1590753600.0,2020-05-29
54,23,Namibia,0,-22.9576,18.4904,null,14,1590753600.0,2020-05-29
55,234,Mozambique,2,-18.665695,35.529562,null,84,1590753600.0,2020-05-29
56,7714,Morocco,202,31.7917,-7926.0,null,5271,1590753600.0,2020-05-29
57,179,Mongolia,0,46.8625,103.8467,null,43,1590753600.0,2020-05-29
58,7896,Moldova,288,47.4116,28.3699,null,4278,1590753600.0,2020-05-29
