confirmed,deaths,timestamp,province_state,long,country_region,timestamp.date,lat,recovered
28,4,1587556800,null,30.0,Zimbabwe,2020-04-22,-20.0,2
2910,402,1587556800,null,1.6596000000000002,Algeria,2020-04-22,28339.0,1204
45757,2906,1587556800,null,-51.9253,Brazil,2020-04-22,-14.235,25318
22,1,1587556800,null,24.6849,Botswana,2020-04-22,-22.3285,0
1368,53,1587556800,null,17.6791,Bosnia and Herzegovina,2020-04-22,43.9159,460
609,37,1587556800,null,-63.5887,Bolivia,2020-04-22,-16.2902,44
41889,6262,1587556800,null,4.0,Belgium,2020-04-22,50.8333,9433
7281,58,1587556800,null,27.9534,Belarus,2020-04-22,53.7098,769
3772,120,1587556800,null,90.3563,Bangladesh,2020-04-22,23.685,92
2027,7,1587556800,null,50.55,Bahrain,2020-04-22,26275.0,1026
1518,20,1587556800,null,47.5769,Azerbaijan,2020-04-22,40.1431,907
14925,510,1587556800,null,14.5501,Austria,2020-04-22,47.5162,11328
3144,152,1587556800,null,-63.6167,Argentina,2020-04-22,-38.4161,872
24,3,1587556800,null,-61.7964,Antigua and Barbuda,2020-04-22,17608.0,10
25,2,1587556800,null,17.8739,Angola,2020-04-22,-11.2027,6
723,37,1587556800,null,1.5218,Andorra,2020-04-22,42.5063,309
634,27,1587556800,null,20.1683,Albania,2020-04-22,41.1533,356
681,6,1587556800,null,-83.7534,Costa Rica,2020-04-22,9.7489,180
1176,40,1587556800,null,65.0,Afghanistan,2020-04-22,33.0,166
23,0,1587556800,null,125.727539,Timor-Leste,2020-04-22,-8.874217,1
42,3,1587556800,null,38.996815,Syria,2020-04-22,34.802075,6
286,8,1587556800,null,46.1996,Somalia,2020-04-22,5.1521,4
10,2,1587556800,null,-85.2072,Nicaragua,2020-04-22,12.8654,7
94,3,1587556800,null,7.4167,Monaco,2020-04-22,43.7333,26
6,0,1587556800,Saint Barthelemy,-62.8333,France,2020-04-22,17.9,6
410,0,1587556800,Reunion,55.2471,France,2020-04-22,-21.1351,238
18,0,1587556800,New Caledonia,165.618,France,2020-04-22,-20.9043,17
148,12,1587556800,Guadeloupe,-61.5833,France,2020-04-22,16.25,73
31,1,1587556800,null,31.4659,Eswatini,2020-04-22,-26.5225,8
39,0,1587556800,null,39.7823,Eritrea,2020-04-22,15.1794,6
185,0,1587556800,Faroe Islands,-6.9118,Denmark,2020-04-22,61.8926,178
189,3,1587556800,Tianjin,117.323,China,2020-04-22,39.3054,176
138,1,1587556800,null,114.7277,Brunei,2020-04-22,4.5353,117
1024,49,1587556800,null,25.4858,Bulgaria,2020-04-22,42.7339,174
609,39,1587556800,null,-1.5615999999999999,Burkina Faso,2020-04-22,12.2383,389
123,5,1587556800,null,95.956,Burma,2020-04-22,21.9162,7
186,6,1587556800,null,21.7587,Congo (Brazzaville),2020-04-22,-4383.0,16
4356,206,1587556800,null,-74.2973,Colombia,2020-04-22,4.5709,870
1268,1,1587556800,Zhejiang,120934.0,China,2020-04-22,29.1832,1252
561,3,1587556800,Sichuan,102.7103,China,2020-04-22,30.6171,556
639,7,1587556800,Shanghai,121.4491,China,2020-04-22,31.202,534
787,7,1587556800,Shandong,118.1498,China,2020-04-22,36.3427,766
279,3,1587556800,Shaanxi,108.8701,China,2020-04-22,35.1917,253
45,0,1587556800,Macau,113.55,China,2020-04-22,22.1667,26
106,1,1587556800,Jilin,126.1923,China,2020-04-22,43.6661,98
653,0,1587556800,Jiangsu,119.455,China,2020-04-22,32.9711,645
68128,4512,1587556800,Hubei,112.2707,China,2020-04-22,30.9756,63519
1033,4,1587556800,Hong Kong,114.2,China,2020-04-22,22.3,678
921,13,1587556800,Heilongjiang,127.7615,China,2020-04-22,47.862,479
1582,8,1587556800,Guangdong,113.4244,China,2020-04-22,23.3417,1511
355,1,1587556800,Fujian,117.9874,China,2020-04-22,26789.0,342
593,8,1587556800,Beijing,116.4142,China,2020-04-22,40.1824,518
11296,160,1587556800,null,-71.543,Chile,2020-04-22,-35.6751,5386
326,4,1587556800,Saskatchewan,-106.4509,Canada,2020-04-22,52.9399,null
null,null,1587556800,Recovery aggregated,-106.3468,Canada,2020-04-22,56.1304,14454
20965,1134,1587556800,Quebec,-73.5491,Canada,2020-04-22,52.9399,null
13718,762,1587556800,Ontario,-85.3232,Canada,2020-04-22,51.2538,null
772,12,1587556800,Nova Scotia,-63.7443,Canada,2020-04-22,44.682,null
257,6,1587556800,Manitoba,-98.8139,Canada,2020-04-22,53.7609,null
-1,-1,1587556800,Grand Princess,-122.6655,Canada,2020-04-22,37.6489,null
1795,90,1587556800,British Columbia,-123.1207,Canada,2020-04-22,49.2827,null
3401,66,1587556800,Alberta,-116.5765,Canada,2020-04-22,53.9333,null
1163,43,1587556800,null,11.5021,Cameroon,2020-04-22,3.848,397
73,1,1587556800,null,-23418.0,Cabo Verde,2020-04-22,16.5388,1
11,1,1587556800,null,29.9189,Burundi,2020-04-22,-3.3731,4
197,0,1587556800,Shanxi,112.2922,China,2020-04-22,37.5777,140
194,1,1587556800,Inner Mongolia,113.9448,China,2020-04-22,44935.0,108
14,0,1587556800,null,20.9394,Central African Republic,2020-04-22,6.6111,10
712,13,1587556800,null,0.0,Diamond Princess,2020-04-22,0.0,644
